frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.0946,0.9096,52618,0,45.7,-110.0,93.59,-91.54,-77.24,23.43,48.75,-56.48,94.88,-83.94,-81.41,-148.17,17.7,-104.36,90.78,-91.88,17.56,-153.41,99.31,-90.48,-98.66,89.75,58.67,-95.95,-7.63,87.4,99.74,-86.28,-20.31,94.77,27.1
2,f01.png,0.1205,0.8828,56138,0,48.3,-109.92,94.98,-92.15,-93.64,30.12,47.9,-56.41,94.98,-83.96,-81.43,-148.12,17.73,-104.36,90.78,-91.88,17.56,-153.41,99.31,-90.48,-98.66,89.75,58.67,-95.95,-7.63,89.05,100.0,-87.31,-20.04,95.2,27.08
3,f02.png,0.0951,0.9078,52490,0,41.4,-110.0,95.62,-96.83,-95.0,17.29,41.2,-56.8,95.84,-83.49,-81.97,-148.08,17.89,-103.67,90.57,-91.93,17.28,-153.61,99.72,-89.97,-100.0,90.36,58.46,-94.8,-8.81,89.06,99.81,-87.26,-20.07,95.09,27.16
4,f03.png,0.0883,0.914,52298,0,40.7,-105.15,94.84,-94.0,-89.78,11.25,40.11,-56.58,96.23,-83.54,-81.94,-147.76,17.82,-102.51,90.0,-91.31,16.82,-154.7,99.49,-90.01,-98.04,90.35,60.88,-98.76,-8.93,89.26,99.96,-87.19,-20.11,95.31,27.16
5,f04.png,0.1074,0.8941,52490,0,39.9,-101.83,98.2,-96.47,-88.41,11.94,40.06,-56.63,96.35,-83.3,-81.79,-147.77,17.79,-105.79,85.33,-91.48,18.14,-157.21,99.99,-90.01,-98.04,90.35,60.88,-98.76,-8.93,89.22,99.91,-87.34,-19.95,95.9,27.02
6,f05.png,0.1349,0.866,48650,0,36.4,-99.51,95.37,-90.99,-82.84,4.43,39.05,-56.39,98.21,-84.0,-80.88,-151.24,17.86,-109.6,87.22,-91.3,17.37,-157.21,99.8,-92.83,-97.89,90.72,61.04,-99.3,-8.87,89.33,99.9,-87.4,-20.04,95.56,27.13
7,f06.png,0.1521,0.8483,47114,0,35.8,-95.2,98.15,-89.35,-87.08,7.62,38.46,-56.17,98.98,-83.8,-80.83,-151.46,17.65,-104.3,88.41,-91.06,18.29,-157.13,99.97,-92.51,-96.68,90.59,61.31,-99.44,-8.67,90.12,99.74,-87.1,-20.11,95.4,26.85
8,f07.png,0.1567,0.8439,47306,0,35.6,-55.38,100.0,-88.75,-90.05,-1.37,35.58,-56.22,99.17,-83.8,-80.92,-151.23,17.62,-104.31,91.42,-92.64,19.22,-156.73,99.94,-90.37,-95.34,90.93,61.19,-100.32,-8.33,82.83,99.62,-86.81,-20.93,96.19,27.29
9,f08.png,0.1063,0.895,52490,0,40.6,-106.55,100.0,-74.25,-86.34,62.94,38.03,-56.13,99.05,-83.61,-80.95,-150.91,17.43,-104.31,91.42,-92.64,19.22,-156.73,99.94,-91.06,-95.37,90.34,61.19,-100.32,-8.33,74.86,95.82,-88.1,-23.94,95.75,28.25
10,f09.png,0.1081,0.8942,64010,0,48.7,-88.1,86.3,-79.96,-93.5,37.69,41.68,-56.29,98.73,-83.63,-81.02,-151.77,17.31,-104.1,90.85,-92.53,20.05,-155.95,100.0,-91.1,-95.34,90.36,61.19,-100.32,-8.33,88.42,98.01,-90.35,-23.26,97.69,28.0
11,f10.png,0.0523,0.9546,11904,0,9.8,-24.28,86.3,-79.96,-93.5,37.69,41.68,7.53,98.73,-83.63,-81.02,-151.77,17.31,-35.58,64.1,-92.53,20.05,-155.95,100.0,-23.92,-100.0,85.34,48.93,-97.46,-8.33,85.38,89.27,-72.21,2.18,94.51,27.14
12,f11.png,0.0796,0.9255,49610,0,36.7,-37.34,57.52,-78.04,-92.75,34.7,40.67,8.12,99.64,-83.13,-80.84,-151.65,16.82,-12.69,70.7,-93.22,20.74,-155.97,99.64,-88.33,-100.0,90.59,55.38,-94.53,-10.0,84.87,89.12,-72.65,1.92,95.12,27.09
13,f12.png,0.0707,0.9347,51722,0,37.8,-37.04,57.99,-78.04,-92.75,34.7,40.67,8.25,99.63,-83.0,-80.72,-152.04,16.82,-18.23,71.19,-91.55,21.3,-156.98,99.94,-91.05,-100.0,90.66,55.59,-94.53,-10.0,86.2,89.25,-72.59,2.35,94.86,27.31
