capture,class,take,sample_id,quad_source,mask_backend,shape_frac,mask
abstract_device3_A1_scale_geometry,device3,,abstract_device3_mpeg7-01,4tag,sam2-points,0.1773,Teleops/source/teleop_set1/masks/abstract_device3_A1_scale_geometry_mask.png
abstract_device9_A1_scale_geometry,device9,,abstract_device9_mpeg7-04,4tag,sam2-points,0.1873,Teleops/source/teleop_set1/masks/abstract_device9_A1_scale_geometry_mask.png
digits1_B2_boundary,1,,digits_1_dejavusans-bold,4tag,sam2-points,0.0909,Teleops/source/teleop_set1/masks/digits1_B2_boundary_mask.png
digits1_B3_thin_structure,1,,digits_1_dejavuserif-bold,4tag,sam2-points,0.0692,Teleops/source/teleop_set1/masks/digits1_B3_thin_structure_mask.png
digits7_D1_medium_tier,7,,digits_7_dejavusans-bold,4tag,sam2-points,0.0673,Teleops/source/teleop_set1/masks/digits7_D1_medium_tier_mask.png
letters_lowera_B4_topology,a,,letters_lower_a_dejavusans-bold,4tag,sam2-points,0.1957,Teleops/source/teleop_set1/masks/letters_lowera_B4_topology_mask.png
letters_lowerb_C4_human_study,b,,letters_lower_b_dejavusans-bold,4tag,sam2-points,0.1687,Teleops/source/teleop_set1/masks/letters_lowerb_C4_human_study_mask.png
letters_lowerb_C4_human_study_2,b,,letters_lower_b_dejavusans-bold,4tag,sam2-points,0.1598,Teleops/source/teleop_set1/masks/letters_lowerb_C4_human_study_2_mask.png
letters_lowerj_A2thinness,j,,letters_lower_j_dejavusansmono-bold,4tag,sam2-points,0.0836,Teleops/source/teleop_set1/masks/letters_lowerj_A2thinness_mask.png
letters_lowerl_A1_scale_ageometry,l,,letters_lower_l_dejavusans-bold,4tag,sam2-points,0.1152,Teleops/source/teleop_set1/masks/letters_lowerl_A1_scale_ageometry_mask.png
letters_lowern_B5_placement,n,,letters_lower_n_dejavusans-bold,4tag,sam2-points,0.1606,Teleops/source/teleop_set1/masks/letters_lowern_B5_placement_mask.png
letters_lowero_A1_scale_geometry,o,,letters_lower_o_dejavusans-bold,4tag,sam2-points,0.1061,Teleops/source/teleop_set1/masks/letters_lowero_A1_scale_geometry_mask.png
letters_lowerq_B5_placement,q,,letters_lower_q_dejavusansmono-bold,4tag,sam2-points,0.1548,Teleops/source/teleop_set1/masks/letters_lowerq_B5_placement_mask.png
letters_lowerr_A2_thinness,r,,letters_lower_r_dejavusans-bold,4tag,sam2-points,0.1569,Teleops/source/teleop_set1/masks/letters_lowerr_A2_thinness_mask.png
letters_lowert_B3_thin_structure,t,,letters_lower_t_dejavuserif-bold,4tag,sam2-points,0.0946,Teleops/source/teleop_set1/masks/letters_lowert_B3_thin_structure_mask.png
letters_loweru_B2_boundary,u,,letters_lower_u_dejavusansmono-bold,4tag,sam2-points,0.1803,Teleops/source/teleop_set1/masks/letters_loweru_B2_boundary_mask.png
letters_lowerw_D_repeatability_check,w,,letters_lower_w_dejavusansmono-bold,4tag,sam2-points,0.1627,Teleops/source/teleop_set1/masks/letters_lowerw_D_repeatability_check_mask.png
letters_upperA_D1_attribute_space_coverage,A,,letters_upper_A_dejavuserif-bold,4tag,sam2-points,0.1916,Teleops/source/teleop_set1/masks/letters_upperA_D1_attribute_space_coverage_mask.png
letters_upperB_A3_topology,B,,letters_upper_B_dejavusans-bold,4tag,sam2-points,0.1607,Teleops/source/teleop_set1/masks/letters_upperB_A3_topology_mask.png
letters_upperH_A4_structure,H,,letters_upper_H_dejavuserif-bold,4tag,sam2-points,0.1579,Teleops/source/teleop_set1/masks/letters_upperH_A4_structure_mask.png
letters_upperL_A3_topology,L,,letters_upper_L_dejavusans-bold,4tag,sam2-points,0.1537,Teleops/source/teleop_set1/masks/letters_upperL_A3_topology_mask.png
letters_upperM_A1_scale_geometry,M,,letters_upper_M_dejavuserif-bold,4tag,sam2-points,0.1849,Teleops/source/teleop_set1/masks/letters_upperM_A1_scale_geometry_mask.png
letters_upperN_B4_topology,N,,letters_upper_N_dejavusansmono-bold,4tag,sam2-points,0.2085,Teleops/source/teleop_set1/masks/letters_upperN_B4_topology_mask.png
letters_upperV_A1_scale_geometry,V,,letters_upper_V_dejavusansmono-bold,4tag,sam2-points,0.1479,Teleops/source/teleop_set1/masks/letters_upperV_A1_scale_geometry_mask.png
letters_upperX_A1_scale_geometry,X,,letters_upper_X_dejavuserif-bold,4tag,sam2-points,0.1557,Teleops/source/teleop_set1/masks/letters_upperX_A1_scale_geometry_mask.png
letters_upperY_A4_structure,Y,,letters_upper_Y_dejavusansmono-bold,4tag,sam2-points,0.1337,Teleops/source/teleop_set1/masks/letters_upperY_A4_structure_mask.png
letters_upperZ_A3_topology,Z,,letters_upper_Z_dejavuserif-bold,4tag,sam2-points,0.1734,Teleops/source/teleop_set1/masks/letters_upperZ_A3_topology_mask.png
objects_fork_D1_honest_failure,fork,,objects_fork_mpeg7-05,4tag,sam2-points,0.158,Teleops/source/teleop_set1/masks/objects_fork_D1_honest_failure_mask.png
objects_glass_D1_medium_tier,glas,,objects_glas_mpeg7-04,4tag,sam2-points,0.1562,Teleops/source/teleop_set1/masks/objects_glass_D1_medium_tier_mask.png
